id,name,gender,age,traits,status,interest
0,David Smith,male,25,"compassionate, caring, ambitious, optimistic",photographer," sci-fi movies,  comedy movies"
1,David Miller,female,39,"fun-loving, creative, practical, energetic, patient",writer," action movies,  sci-fi movies,  classic movies"
2,James Brown,male,70,"independent, creative, patient, empathetic",engineer," comedy movies,  family-friendly movies,  documentaries,  thriller movies"
3,Sarah Miller,female,33,"independent, compassionate",farmer," romantic movies,  comedy movies,  classic movies,  family-friendly movies"
4,John Taylor,male,68,optimistic,doctor," action movies,  thriller movies"
5,Sarah Williams,female,51,meticulous,musician," action movies,  documentaries,  sci-fi movies,  family-friendly movies,  classic movies"
6,James Jones,male,59,"practical, fun-loving, creative, ambitious, caring",farmer, documentaries
7,Jane Brown,female,30,"patient, adventurous, fun-loving, optimistic",doctor, documentaries
8,David Jones,male,23,"analytical, energetic, introspective, independent",scientist," family-friendly movies,  thriller movies,  action movies,  sci-fi movies"
9,James Brown,female,20,"ambitious, analytical, optimistic, energetic, meticulous",designer," family-friendly movies,  romantic movies"
10,James Garcia,male,20,"practical, energetic, introspective, patient",engineer," documentaries,  thriller movies,  comedy movies,  classic movies,  romantic movies"
11,Robert Johnson,female,61,"analytical, introspective, independent",farmer, romantic movies
12,Linda Williams,male,42,"meticulous, fun-loving, analytical",lawyer," documentaries,  romantic movies,  classic movies,  sci-fi movies,  family-friendly movies"
13,Linda Jones,female,25,"introspective, empathetic",retired," classic movies,  documentaries,  thriller movies"
14,Linda Davis,male,25,"independent, empathetic, analytical, caring, meticulous",artist, classic movies
15,Sarah Davis,female,21,"ambitious, practical",entrepreneur, action movies
16,Mary Williams,male,39,"patient, independent, energetic, ambitious, practical",farmer," sci-fi movies,  classic movies,  comedy movies"
17,John Jones,female,30,"fun-loving, creative, caring",musician," action movies,  documentaries,  romantic movies,  sci-fi movies,  comedy movies"
18,Michael Davis,male,26,"empathetic, compassionate, creative",designer, family-friendly movies
19,Michael Brown,female,42,"compassionate, empathetic, energetic, practical, creative",doctor," action movies,  sci-fi movies,  documentaries"
20,James Johnson,male,69,analytical,photographer," family-friendly movies,  romantic movies,  action movies,  comedy movies"
21,Michael Johnson,female,25,"independent, ambitious, outgoing, compassionate",designer, thriller movies
22,Linda Brown,male,50,"independent, outgoing",designer," classic movies,  sci-fi movies,  comedy movies"
23,James Miller,female,59,"fun-loving, empathetic, practical",entrepreneur," classic movies,  family-friendly movies"
24,Michael Miller,male,64,"analytical, practical, creative, optimistic, compassionate",designer," family-friendly movies,  thriller movies,  comedy movies"
25,Mary Brown,female,24,"patient, caring, analytical, empathetic, introspective",lawyer," comedy movies,  family-friendly movies,  action movies,  classic movies,  thriller movies"
26,Michael Miller,male,48,"practical, optimistic, meticulous, ambitious, creative",nurse," comedy movies,  family-friendly movies,  classic movies"
27,Emily Miller,female,20,"creative, independent",writer," sci-fi movies,  classic movies,  action movies,  romantic movies"
28,John Miller,male,27,"outgoing, practical, compassionate, optimistic",farmer," thriller movies,  comedy movies,  sci-fi movies,  romantic movies,  documentaries"
29,John Brown,female,23,"outgoing, optimistic, empathetic, introspective, compassionate",musician," romantic movies,  thriller movies,  classic movies,  documentaries,  family-friendly movies"
30,Jane Garcia,male,58,"outgoing, compassionate, analytical, patient",engineer," action movies,  romantic movies,  sci-fi movies"
31,John Davis,female,63,"creative, optimistic, adventurous, meticulous",nurse," action movies,  family-friendly movies"
32,Michael Davis,male,57,"optimistic, creative, patient, introspective",musician," sci-fi movies,  thriller movies,  classic movies,  documentaries"
33,Mary Martinez,female,52,"empathetic, adventurous, analytical",designer," family-friendly movies,  classic movies"
34,Michael Williams,male,45,independent,doctor, romantic movies
35,Michael Brown,female,41,"meticulous, optimistic, outgoing, caring, patient",designer," action movies,  classic movies,  romantic movies,  thriller movies,  family-friendly movies"
36,John Smith,male,52,energetic,nurse," comedy movies,  romantic movies,  thriller movies,  action movies,  sci-fi movies"
37,John Martinez,female,54,"optimistic, adventurous, introspective, patient",lawyer," comedy movies,  romantic movies,  classic movies"
38,Emily Davis,male,58,optimistic,retired," romantic movies,  sci-fi movies"
39,John Taylor,female,30,"practical, introspective, ambitious",student," classic movies,  action movies"
40,Robert Martinez,male,35,"fun-loving, meticulous, practical, outgoing, compassionate",engineer," thriller movies,  comedy movies,  family-friendly movies,  romantic movies,  sci-fi movies"
41,David Miller,female,26,"outgoing, practical, optimistic",writer," family-friendly movies,  comedy movies,  sci-fi movies,  thriller movies,  classic movies"
42,Michael Jones,male,54,"caring, outgoing",farmer, family-friendly movies
43,Linda Miller,female,31,"ambitious, independent, creative",entrepreneur," comedy movies,  action movies"
44,Mary Miller,male,58,"outgoing, optimistic, fun-loving",writer," romantic movies,  family-friendly movies,  classic movies,  documentaries"
45,Sarah Taylor,female,56,"outgoing, fun-loving, creative",designer," sci-fi movies,  classic movies"
46,Jane Martinez,male,47,"ambitious, empathetic",actor, sci-fi movies
47,Emily Brown,female,28,ambitious,writer, romantic movies
48,Linda Brown,male,22,"independent, fun-loving",actor," sci-fi movies,  thriller movies,  family-friendly movies,  classic movies"
49,James Williams,female,37,"empathetic, introspective, independent",writer," family-friendly movies,  action movies"
50,Mary Taylor,male,44,"meticulous, optimistic, compassionate, practical",artist, family-friendly movies
51,Jane Martinez,female,53,introspective,nurse," sci-fi movies,  thriller movies,  action movies,  documentaries,  comedy movies"
52,David Garcia,male,43,"analytical, optimistic",farmer, classic movies
53,Mary Garcia,female,55,"fun-loving, ambitious, analytical, independent",doctor," documentaries,  romantic movies,  sci-fi movies,  family-friendly movies,  classic movies"
54,Mary Garcia,male,22,"practical, outgoing, introspective, empathetic",designer," family-friendly movies,  sci-fi movies,  classic movies,  comedy movies,  thriller movies"
55,Jane Davis,female,25,"creative, ambitious, optimistic, introspective",teacher, classic movies
56,Jane Martinez,male,28,"caring, empathetic, compassionate, creative, analytical",doctor," romantic movies,  classic movies"
57,Jane Johnson,female,39,"outgoing, independent, practical",nurse," sci-fi movies,  thriller movies,  documentaries"
58,Sarah Taylor,male,39,"meticulous, practical",actor," family-friendly movies,  sci-fi movies,  comedy movies,  thriller movies"
59,Michael Williams,female,32,"meticulous, caring, analytical, practical, empathetic",entrepreneur, comedy movies
60,John Martinez,male,26,analytical,actor," thriller movies,  family-friendly movies"
61,Robert Johnson,female,68,"optimistic, patient, practical",lawyer," comedy movies,  thriller movies"
62,Jane Jones,male,59,"meticulous, fun-loving, ambitious, outgoing",engineer," sci-fi movies,  comedy movies"
63,Emily Miller,female,62,"compassionate, practical, analytical, patient",musician," classic movies,  sci-fi movies,  romantic movies,  documentaries"
64,James Johnson,male,70,caring,farmer," documentaries,  comedy movies,  romantic movies,  classic movies,  family-friendly movies"
65,Emily Brown,female,48,"caring, patient, introspective, analytical",musician," action movies,  family-friendly movies,  romantic movies"
66,Linda Williams,male,56,"outgoing, optimistic, empathetic, meticulous",actor," family-friendly movies,  documentaries,  sci-fi movies,  comedy movies"
67,David Brown,female,47,"meticulous, empathetic, practical, creative",artist, sci-fi movies
68,James Davis,male,56,"creative, compassionate",entrepreneur," classic movies,  sci-fi movies"
69,James Brown,female,57,"outgoing, caring",scientist," documentaries,  romantic movies,  comedy movies"
70,David Martinez,male,35,"patient, independent",entrepreneur, classic movies
71,John Johnson,female,33,"empathetic, patient, introspective, fun-loving",retired," comedy movies,  family-friendly movies,  documentaries"
72,Jane Smith,male,51,"caring, outgoing, independent",scientist, action movies
73,Michael Martinez,female,31,"energetic, outgoing",photographer," romantic movies,  sci-fi movies,  classic movies"
